,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Is_test,SalePrice
911,120,RL,30.0,9549,0,None,2,Lvl,3,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,GasA,5,1,4,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,7,1,4,Attchd,1995.0,3,2.0,481.0,3,3,2,0,30,0,0,216,0,0,0,None,0,4,2006,WD ,0,270000.0
912,20,RL,60.0,10950,0,None,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,0.0,507.0,948.0,GasA,3,1,4,948,0,0,948,0.0,0.0,1,0,2,1,3,5,7,0,0,Detchd,1952.0,1,2.0,410.0,3,3,0,0,48,0,0,0,0,0,0,None,0,4,2007,WD ,0,125000.0
913,20,RL,79.0,10637,0,None,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,GasA,5,1,4,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,7,1,4,Attchd,2007.0,2,3.0,826.0,3,3,2,208,44,0,0,0,0,0,0,None,0,9,2009,WD ,0,297000.0
914,20,RL,80.0,9000,0,None,2,HLS,3,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,0.0,160.0,160.0,GasA,2,1,4,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,7,1,4,Basment,1958.0,2,1.0,384.0,3,3,2,0,28,64,0,0,0,0,0,None,0,4,2009,WD ,0,113500.0
915,160,RM,41.0,2665,0,None,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,757.0,GasA,5,1,4,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,7,1,3,Attchd,1977.0,2,1.0,336.0,3,3,2,104,26,0,0,0,0,0,0,None,0,7,2006,WD ,0,127000.0
916,20,RL,105.0,11751,0,None,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,1,4,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,7,1,3,Attchd,1977.0,2,2.0,546.0,3,3,2,0,122,0,0,0,0,0,3,None,0,1,2010,COD,0,190000.0
917,20,RL,80.0,9600,0,None,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,0.0,326.0,1242.0,GasA,2,1,4,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,7,1,3,Attchd,1973.0,1,2.0,528.0,3,3,2,0,0,0,0,0,0,0,0,None,0,9,2007,WD ,0,175500.0
918,20,RL,60.0,8428,0,None,1,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,990.0,GasA,5,1,4,990,0,0,990,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1995.0,1,1.0,384.0,3,3,2,256,0,0,0,0,0,0,0,None,0,7,2007,WD ,0,146000.0
919,20,RL,75.0,9937,0,None,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,290.0,136.0,1256.0,GasA,4,1,4,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,7,0,0,Attchd,1965.0,3,1.0,276.0,3,3,2,736,68,0,0,0,0,0,0,None,0,6,2008,WD ,0,147500.0
920,20,RL,107.0,13891,0,None,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,GasA,5,1,4,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,7,1,4,Attchd,2006.0,3,3.0,850.0,3,3,2,216,229,0,0,0,0,0,0,None,0,9,2006,New,0,465000.0
921,85,RL,0.0,9101,0,None,2,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,GasA,5,1,4,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,7,1,3,Attchd,1978.0,3,2.0,602.0,3,3,2,303,30,0,0,0,0,0,0,None,0,7,2009,WD ,0,165500.0
922,50,RM,81.0,12150,0,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,GasA,5,0,2,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,7,0,0,Attchd,1954.0,1,1.0,352.0,2,3,2,0,0,0,0,0,0,0,0,None,0,11,2008,WD ,0,131500.0
923,20,RL,70.0,11200,0,None,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,5,1,4,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1965.0,1,1.0,384.0,3,3,2,0,0,0,0,0,0,0,0,None,0,2,2008,WD ,0,129500.0
924,70,RL,100.0,9670,0,None,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,0.0,398.0,608.0,GasA,3,1,4,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,7,2,4,Detchd,1935.0,3,2.0,786.0,2,3,2,0,0,207,0,0,0,0,0,None,0,6,2008,WD ,0,257076.0
925,50,RL,60.0,10998,0,Grvl,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,4,420.0,156.0,984.0,GasA,5,1,4,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,5,0,0,Detchd,1977.0,1,2.0,660.0,3,3,2,0,68,0,0,0,0,0,0,None,0,7,2009,WD ,0,117000.0
926,70,RL,60.0,7200,0,None,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,1,0.0,776.0,776.0,GasA,3,1,4,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,7,1,4,Attchd,1931.0,2,1.0,270.0,3,3,1,0,0,112,0,0,0,0,3,None,0,2,2008,WD ,0,149000.0
927,20,RL,80.0,9920,0,None,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,2,290.0,412.0,1056.0,GasA,3,1,4,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,7,0,0,Attchd,1954.0,2,1.0,280.0,3,3,2,0,0,164,0,0,0,0,3,None,0,2,2010,WD ,0,128000.0
928,160,RL,36.0,2448,0,None,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,0.0,764.0,764.0,GasA,5,1,4,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,7,0,0,BuiltIn,2003.0,2,2.0,474.0,3,3,2,0,27,0,0,0,0,0,0,None,0,10,2008,WD ,0,155000.0
929,160,FV,0.0,2998,0,None,3,Lvl,3,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,1,0.0,403.0,756.0,GasA,5,1,4,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,7,0,0,Detchd,2000.0,1,2.0,440.0,3,3,2,0,32,0,0,0,0,0,0,None,0,6,2006,WD ,0,166000.0
930,50,RL,65.0,7804,0,None,3,Lvl,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,1,0.0,500.0,1122.0,GasA,3,1,4,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,5,2,3,Detchd,1981.0,1,2.0,576.0,3,3,2,431,44,0,0,0,0,0,3,None,0,12,2009,WD ,0,135000.0
931,60,RL,80.0,16692,0,None,2,Lvl,3,Inside,2,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,2,469.0,133.0,1392.0,GasA,3,1,4,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,7,2,3,Attchd,1978.0,2,2.0,564.0,3,3,2,0,112,0,0,440,519,2,3,TenC,2000,7,2006,WD ,0,250000.0
